neighborhood,year,n_permits,permits_per_sm
Clearing (West),2010,0,0
Clearing (West),2011,0,0
Clearing (West),2012,0,0
Clearing (West),2013,1,9.198587769890905
Clearing (West),2014,5,45.99293884945452
Clearing (West),2015,1,9.198587769890905
Clearing (West),2016,1,9.198587769890905
Clearing (West),2017,0,0
Clearing (West),2018,2,18.39717553978181
Clearing (West),2019,0,0
Clearing (West),2020,0,0
Clearing (West),2021,0,0
Cragin,2006,0,0
Cragin,2007,0,0
Cragin,2008,1,139.5198550729414
Cragin,2009,0,0
Cragin,2010,0,0
Cragin,2011,0,0
Cragin,2012,0,0
Cragin,2013,0,0
Cragin,2014,0,0
Cragin,2015,0,0
Cragin,2016,0,0
Cragin,2017,0,0
Cragin,2018,0,0
Cragin,2019,0,0
Cragin,2020,0,0
Cragin,2021,0,0
Douglas Park,2006,1,13.313961875177863
Douglas Park,2007,1,13.313961875177863
Douglas Park,2008,5,66.56980937588932
Douglas Park,2009,0,0
Douglas Park,2010,17,226.3373518780237
Douglas Park,2011,0,0
Douglas Park,2012,0,0
Douglas Park,2013,0,0
Douglas Park,2014,0,0
Douglas Park,2015,0,0
Douglas Park,2016,1,13.313961875177863
Douglas Park,2017,0,0
Douglas Park,2018,0,0
Douglas Park,2019,1,13.313961875177863
Douglas Park,2020,4,53.255847500711454
Douglas Park,2021,0,0
Dunning,2006,2,133.2256036103891
Dunning,2007,0,0
Dunning,2008,0,0
Dunning,2009,0,0
Dunning,2010,0,0
Dunning,2011,0,0
Dunning,2012,0,0
Dunning,2013,0,0
Dunning,2014,0,0
Dunning,2015,0,0
Dunning,2016,0,0
Dunning,2017,0,0
Dunning,2018,0,0
Dunning,2019,0,0
Dunning,2020,0,0
Dunning,2021,0,0
East Chatham,2006,1,289.5212090449897
East Chatham,2007,0,0
East Chatham,2008,0,0
East Chatham,2009,0,0
East Chatham,2010,0,0
East Chatham,2011,0,0
East Chatham,2012,0,0
East Chatham,2013,0,0
East Chatham,2014,0,0
East Chatham,2015,0,0
East Chatham,2016,0,0
East Chatham,2017,0,0
East Chatham,2018,0,0
East Chatham,2019,0,0
East Chatham,2020,0,0
East Chatham,2021,0,0
East Garfield Park,2006,23,30.652756751693797
East Garfield Park,2007,15,19.99092831632204
East Garfield Park,2008,19,25.32184253400792
East Garfield Park,2009,4,5.330914217685877
East Garfield Park,2010,0,0
East Garfield Park,2011,3,3.998185663264408
East Garfield Park,2012,2,2.6654571088429386
East Garfield Park,2013,1,1.3327285544214693
East Garfield Park,2014,1,1.3327285544214693
East Garfield Park,2015,5,6.663642772107347
East Garfield Park,2016,8,10.661828435371755
East Garfield Park,2017,2,2.6654571088429386
East Garfield Park,2018,5,6.663642772107347
East Garfield Park,2019,5,6.663642772107347
East Garfield Park,2020,6,7.996371326528816
East Garfield Park,2021,6,7.996371326528816
East Hyde Park,2006,0,0
East Hyde Park,2007,0,0
East Hyde Park,2008,0,0
East Hyde Park,2009,0,0
East Hyde Park,2010,1,7.604794866240962
East Hyde Park,2011,0,0
East Hyde Park,2012,0,0
East Hyde Park,2013,0,0
East Hyde Park,2014,0,0
East Hyde Park,2015,0,0
East Hyde Park,2016,0,0
East Hyde Park,2017,0,0
East Hyde Park,2018,0,0
East Hyde Park,2019,0,0
East Hyde Park,2020,0,0
East Hyde Park,2021,0,0
East Pilsen,2006,4,57.50280583227678
East Pilsen,2007,1,14.375701458069194
East Pilsen,2008,1,14.375701458069194
East Pilsen,2009,0,0
East Pilsen,2010,2,28.75140291613839
East Pilsen,2011,0,0
East Pilsen,2012,1,14.375701458069194
East Pilsen,2013,0,0
East Pilsen,2014,5,71.87850729034596
East Pilsen,2015,2,28.75140291613839
East Pilsen,2016,5,71.87850729034596
East Pilsen,2017,3,43.12710437420758
East Pilsen,2018,4,57.50280583227678
East Pilsen,2019,2,28.75140291613839
East Pilsen,2020,1,14.375701458069194
East Pilsen,2021,1,14.375701458069194
East Side,2006,0,0
East Side,2007,5,343.7846030420906
East Side,2008,0,0
East Side,2009,0,0
East Side,2010,0,0
East Side,2011,0,0
East Side,2012,0,0
East Side,2013,0,0
East Side,2014,0,0
East Side,2015,0,0
East Side,2016,0,0
East Side,2017,0,0
East Side,2018,0,0
East Side,2019,0,0
East Side,2020,0,0
East Side,2021,0,0
East Ukrainian Village,2006,13,67.256680462049
East Ukrainian Village,2007,8,41.388726438184
East Ukrainian Village,2008,10,51.73590804773
East Ukrainian Village,2009,5,25.867954023865
East Ukrainian Village,2010,6,31.041544828638003
East Ukrainian Village,2011,6,31.041544828638003
East Ukrainian Village,2012,8,41.388726438184
East Ukrainian Village,2013,16,82.777452876368
East Ukrainian Village,2014,11,56.909498852503006
East Ukrainian Village,2015,9,46.562317242957
East Ukrainian Village,2016,11,56.909498852503006
East Ukrainian Village,2017,13,67.256680462049
East Ukrainian Village,2018,13,67.256680462049
East Ukrainian Village,2019,2,10.347181609546
East Ukrainian Village,2020,4,20.694363219092
East Ukrainian Village,2021,6,31.041544828638003
Edgewater,2006,0,0
Edgewater,2007,1,31.384403561928607
Edgewater,2008,0,0
Edgewater,2009,0,0
Edgewater,2010,0,0
Edgewater,2011,0,0
Edgewater,2012,0,0
Edgewater,2013,0,0
Edgewater,2014,0,0
Edgewater,2015,0,0
Edgewater,2016,0,0
Edgewater,2017,0,0
Edgewater,2018,1,31.384403561928607
Edgewater,2019,0,0
Edgewater,2020,0,0
Edgewater,2021,1,31.384403561928607
Edgewater Beach,2006,0,0
Edgewater Beach,2007,2,13.182563843008989
Edgewater Beach,2008,1,6.591281921504494
Edgewater Beach,2009,0,0
Edgewater Beach,2010,0,0
Edgewater Beach,2011,1,6.591281921504494
Edgewater Beach,2012,0,0
Edgewater Beach,2013,0,0
Edgewater Beach,2014,0,0
Edgewater Beach,2015,1,6.591281921504494
Edgewater Beach,2016,4,26.365127686017978
Edgewater Beach,2017,2,13.182563843008989
Edgewater Beach,2018,2,13.182563843008989
Edgewater Beach,2019,1,6.591281921504494
Edgewater Beach,2020,0,0
Edgewater Beach,2021,1,6.591281921504494
Edison Park,2006,2,41.042275674627746
Edison Park,2007,1,20.521137837313873
Edison Park,2008,0,0
Edison Park,2009,0,0
Edison Park,2010,1,20.521137837313873
Edison Park,2011,0,0
Edison Park,2012,0,0
Edison Park,2013,0,0
Edison Park,2014,0,0
Edison Park,2015,1,20.521137837313873
Edison Park,2016,1,20.521137837313873
Edison Park,2017,0,0
Edison Park,2018,1,20.521137837313873
Edison Park,2019,0,0
Edison Park,2020,0,0
Edison Park,2021,0,0
Englewood,2006,30,32.61738594627546
Englewood,2007,10,10.87246198209182
Englewood,2008,15,16.30869297313773
Englewood,2009,15,16.30869297313773
Englewood,2010,0,0
Englewood,2011,1,1.0872461982091821
Englewood,2012,0,0
Englewood,2013,0,0
Englewood,2014,0,0
Englewood,2015,1,1.0872461982091821
Englewood,2016,0,0
Englewood,2017,0,0
Englewood,2018,1,1.0872461982091821
Englewood,2019,8,8.697969585673457
Englewood,2020,0,0
Englewood,2021,1,1.0872461982091821
Fifth City,2006,3,24.80742801241142
