neighborhood,year,n_permits,permits_per_sm
Hegewisch,2009,1,3.8133886528772907
Hegewisch,2010,0,0
Hegewisch,2011,1,3.8133886528772907
Hegewisch,2012,0,0
Hegewisch,2013,0,0
Hegewisch,2014,2,7.626777305754581
Hegewisch,2015,0,0
Hegewisch,2016,0,0
Hegewisch,2017,0,0
Hegewisch,2018,0,0
Hegewisch,2019,0,0
Hegewisch,2020,0,0
Hegewisch,2021,0,0
Hermosa,2006,5,14.25520978907912
Hermosa,2007,10,28.51041957815824
Hermosa,2008,8,22.80833566252659
Hermosa,2009,5,14.25520978907912
Hermosa,2010,5,14.25520978907912
Hermosa,2011,1,2.851041957815824
Hermosa,2012,7,19.957293704710768
Hermosa,2013,2,5.702083915631648
Hermosa,2014,2,5.702083915631648
Hermosa,2015,4,11.404167831263296
Hermosa,2016,2,5.702083915631648
Hermosa,2017,4,11.404167831263296
Hermosa,2018,0,0
Hermosa,2019,2,5.702083915631648
Hermosa,2020,1,2.851041957815824
Hermosa,2021,1,2.851041957815824
Hollywood Park,2006,0,0
Hollywood Park,2007,0,0
Hollywood Park,2008,2,26.523138186963234
Hollywood Park,2009,0,0
Hollywood Park,2010,0,0
Hollywood Park,2011,0,0
Hollywood Park,2012,0,0
Hollywood Park,2013,0,0
Hollywood Park,2014,0,0
Hollywood Park,2015,0,0
Hollywood Park,2016,0,0
Hollywood Park,2017,0,0
Hollywood Park,2018,0,0
Hollywood Park,2019,0,0
Hollywood Park,2020,0,0
Hollywood Park,2021,0,0
Horner Park,2006,1,8.739794762979592
Horner Park,2007,0,0
Horner Park,2008,4,34.95917905191837
Horner Park,2009,0,0
Horner Park,2010,0,0
Horner Park,2011,2,17.479589525959184
Horner Park,2012,1,8.739794762979592
Horner Park,2013,2,17.479589525959184
Horner Park,2014,2,17.479589525959184
Horner Park,2015,2,17.479589525959184
Horner Park,2016,3,26.219384288938777
Horner Park,2017,1,8.739794762979592
Horner Park,2018,1,8.739794762979592
Horner Park,2019,2,17.479589525959184
Horner Park,2020,0,0
Horner Park,2021,0,0
Humboldt Park,2006,3,3.575009023959877
Humboldt Park,2007,14,16.68337544514609
Humboldt Park,2008,7,8.341687722573045
Humboldt Park,2009,7,8.341687722573045
Humboldt Park,2010,2,2.3833393493065844
Humboldt Park,2011,10,11.916696746532923
Humboldt Park,2012,8,9.533357397226338
Humboldt Park,2013,7,8.341687722573045
Humboldt Park,2014,7,8.341687722573045
Humboldt Park,2015,7,8.341687722573045
Humboldt Park,2016,10,11.916696746532923
Humboldt Park,2017,6,7.150018047919754
Humboldt Park,2018,3,3.575009023959877
Humboldt Park,2019,1,1.1916696746532922
Humboldt Park,2020,4,4.766678698613169
Humboldt Park,2021,1,1.1916696746532922
Irving Park,2006,3,5.8634921257094055
Irving Park,2007,2,3.908994750472937
Irving Park,2008,3,5.8634921257094055
Irving Park,2009,0,0
Irving Park,2010,6,11.726984251418811
Irving Park,2011,4,7.817989500945874
