neighborhood,year,n_permits,permits_per_sm,treatment
Englewood,2006,3,3.2617385946274307,0
Englewood,2007,7,7.610723387464005,0
Englewood,2008,4,4.348984792836575,0
Englewood,2009,8,8.69796958567315,0
Englewood,2010,11,11.95970818030058,0
Englewood,2011,8,8.69796958567315,0
Englewood,2012,20,21.744923964182874,0
Englewood,2013,16,17.3959391713463,0
Englewood,2014,10,10.872461982091437,0
Englewood,2015,8,8.69796958567315,0
Englewood,2016,13,14.134200576718866,0
Englewood,2017,18,19.570431567764587,0
Englewood,2018,8,8.69796958567315,0
Englewood,2019,21,22.832170162392018,0
Englewood,2020,7,7.610723387464005,0
Englewood,2021,8,8.69796958567315,0
Fifth City,2006,0,0,0
Fifth City,2007,1,8.269142670802296,0
Fifth City,2008,0,0,0
Fifth City,2009,1,8.269142670802296,0
Fifth City,2010,3,24.807428012406884,0
Fifth City,2011,1,8.269142670802296,0
Fifth City,2012,6,49.61485602481377,0
Fifth City,2013,2,16.538285341604592,0
Fifth City,2014,2,16.538285341604592,0
Fifth City,2015,0,0,0
Fifth City,2016,0,0,0
Fifth City,2017,2,16.538285341604592,0
Fifth City,2018,4,33.076570683209184,0
Fifth City,2019,3,24.807428012406884,0
Fifth City,2020,0,0,0
Fifth City,2021,1,8.269142670802296,0
Fuller Park,2006,0,0,0
Fuller Park,2007,0,0,0
Fuller Park,2008,0,0,0
Fuller Park,2009,0,0,0
Fuller Park,2010,0,0,0
Fuller Park,2011,0,0,0
Fuller Park,2012,0,0,0
Fuller Park,2013,0,0,0
Fuller Park,2014,1,158.312758742964,0
Fuller Park,2015,0,0,0
Fuller Park,2016,0,0,0
Fuller Park,2017,0,0,0
Fuller Park,2018,0,0,0
Fuller Park,2019,0,0,0
Fuller Park,2020,0,0,0
Fuller Park,2021,0,0,0
Gage Park,2006,1,86.0370552774304,0
Gage Park,2007,0,0,0
Gage Park,2008,0,0,0
Gage Park,2009,1,86.0370552774304,0
Gage Park,2010,0,0,0
Gage Park,2011,0,0,0
Gage Park,2012,0,0,0
Gage Park,2013,0,0,0
Gage Park,2014,0,0,0
Gage Park,2015,0,0,0
Gage Park,2016,0,0,0
Gage Park,2017,0,0,0
Gage Park,2018,1,86.0370552774304,0
Gage Park,2019,0,0,0
Gage Park,2020,0,0,0
Gage Park,2021,0,0,0
Galewood,2006,0,0,0
Galewood,2007,0,0,0
Galewood,2008,0,0,0
Galewood,2009,0,0,0
Galewood,2010,1,36.02826566361405,0
Galewood,2011,0,0,0
Galewood,2012,0,0,0
Galewood,2013,0,0,0
Galewood,2014,0,0,0
Galewood,2015,0,0,0
Galewood,2016,0,0,0
Galewood,2017,0,0,0
Galewood,2018,0,0,0
Galewood,2019,0,0,0
Galewood,2020,0,0,0
Galewood,2021,0,0,0
Garfield Ridge,2006,0,0,0
Garfield Ridge,2007,0,0,0
Garfield Ridge,2008,0,0,0
Garfield Ridge,2009,0,0,0
Garfield Ridge,2010,0,0,0
Garfield Ridge,2011,1,29.37244795011336,0
Garfield Ridge,2012,0,0,0
Garfield Ridge,2013,0,0,0
Garfield Ridge,2014,0,0,0
Garfield Ridge,2015,0,0,0
Garfield Ridge,2016,0,0,0
Garfield Ridge,2017,0,0,0
Garfield Ridge,2018,0,0,0
Garfield Ridge,2019,0,0,0
Garfield Ridge,2020,0,0,0
Garfield Ridge,2021,0,0,0
Gold Coast,2006,8,65.51012592319353,0
Gold Coast,2007,2,16.377531480798382,0
Gold Coast,2008,2,16.377531480798382,0
